ID,CODE,COM,N,1,2,3,4,5,6,7,10,11,15,16,17,18,19,20,21,22,23,24,25,26,98_1,98_2,98_3
1,1101,TNS,2794,42.4,51,5.1,0.5,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1102,KRC,2927,39.4,46.5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1103,TNS,2620,39.4,26.1,33.5,0,0,0,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
4,1104,TNS,2430,39.4,43.7,13.9,2.6,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
5,1105,KRC,2755,37.2,42.2,19.7,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
6,1106,R&R,3601,36.5,47.9,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1107,TNS,2349,39.5,41.3,16.4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1108,TNS,2329,39.8,56.6,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0
9,1109,R&R,3761,30.8,55.2,13.2,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
10,1110,KRC,3405,36.1,46.5,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,0
11,1111,TNS,2589,36.6,46.8,15.9,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
12,1112,R&R,3984,30.4,39.3,24.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3,0
13,1113,TNS,2165,38.4,35.7,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1114,TNS,1972,37.5,48.1,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1115,KRC,2501,38.4,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1116,KRC,2341,43.5,37.7,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1117,TNS,2517,39.1,42.1,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1118,R&R,4822,29.4,52.8,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1119,TNS,2981,32.2,15,50.6,2.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
20,1120,TNS,2696,41.9,54.3,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1121,KRC,3222,0,38.2,27.7,0,0,0.8,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3.9,28.8,0
22,1122,TNS,2317,42.6,53,0,0,0,2,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1123,R&R,4124,39.9,48.5,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1124,TNS,2166,34.3,51,9.3,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,3.5,0,0
25,1125,R&R,3756,30.4,44.5,15.6,4.1,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0
26,1126,TNS,3329,41.2,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0
27,1127,KRC,2173,41.2,40.6,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1128,TNS,3148,34.4,36.8,15.3,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0
29,1129,R&R,3588,46.6,39.7,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
30,1130,TNS,2662,33.1,42,21.8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1131,KRC,3292,31.3,54,11.8,2.1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
32,1132,KRC,2149,30,56.8,11.8,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
33,1133,TNS,2176,34.1,36.7,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0
34,1134,TNS,2679,39.4,44.4,11.9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1135,R&R,3315,39.6,39.7,18,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,2.1,0,0
36,1136,R&R,4484,35.6,35.8,25.2,0,0,0,0,0,0,0,2.5,0,0.9,0,0,0,0,0,0,0,0,0,0,0
37,1137,R&R,3989,43.7,31.8,24.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
38,1138,TNS,3526,18.7,39.6,38.3,2.5,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
39,1139,KRC,2908,37.2,35.9,24.7,0,0,0.6,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
40,1140,TNS,1021,57.2,30.9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1141,TNS,1248,49.5,35.3,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0
42,1142,KRC,1254,54.6,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1143,KRC,1864,48.3,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
44,1144,R&R,1726,59.9,37.5,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
45,1145,KRC,2348,42.4,43.1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1146,TNS,2738,0,43.2,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,1.4,0
47,1147,R&R,3887,39.7,44.7,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1148,R&R,3652,39.9,45.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0
49,1149,KRC,3044,37,42.2,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2601,R&R,1077,55.7,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0
51,2602,R&R,754,54.7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0
52,2603,TNS,2253,49.1,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0
53,2604,TNS,1623,49.9,30.7,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0
54,2605,KRC,1573,42,25.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0
55,2606,TNS,1307,51.6,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2607,TNS,1361,44.5,48,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2608,R&R,2658,48.5,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2609,R&R,1828,50.6,37.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2610,TNS,2356,53.7,40.4,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
60,2611,TNS,1233,50,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0
61,2612,KRC,2188,47.2,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.5,2.9
62,2613,KRC,999,64,23.5,9.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0
63,2614,TNS,836,54,34.6,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2615,KRC,1264,50.7,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2616,KRC,1110,56,22.7,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2617,R&R,3572,27.2,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
67,2618,TNS,1458,42.7,31.2,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0
68,2701,R&R,1002,59.5,22.2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.3,12.1,0
69,2702,R&R,3119,49.6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1.1,0,43.4,0,0
70,2703,R&R,1630,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9,0,0
71,2704,R&R,1126,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8.3,0
72,2705,R&R,2437,54.1,12.6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
73,2706,R&R,2769,39.1,0,0,8.6,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,51.5,0,0
74,2707,TNS,3339,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2708,TNS,2079,35.3,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0
76,2709,TNS,1120,70.6,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2710,TNS,874,65.2,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2711,TNS,932,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,26,0,0
79,2712,TNS,1648,51,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,29.4,0
80,2801,TNS,1952,28.5,0,14,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,0,0
81,2802,R&R,2564,41.4,39.2,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2803,R&R,3820,11.1,0,22.3,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0
83,2804,TNS,2407,40.6,40.4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2805,TNS,2074,44.8,37,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2806,TNS,2447,33.2,50.6,15.1,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
86,2807,TNS,2979,40.8,57.4,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
87,2808,R&R,4013,33.6,27,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0
88,2809,R&R,3980,30.9,43.9,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2810,KRC,2795,38.1,43.8,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2811,KRC,3098,29.7,43.9,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2812,KRC,2385,44.6,39.2,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0
92,2813,KRC,3331,36.6,46.9,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2901,TNS,2250,1.8,29.8,58.3,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,1.3,6.2,0
94,2902,R&R,2718,2,41.2,53.8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
95,2903,TNS,1730,2.7,35.9,55.2,2.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
96,2904,TNS,2347,2.6,32.1,55.3,5.2,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,3.6,0,0
97,2905,R&R,2279,0,24.2,70.4,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,2.3,0,0
98,2906,R&R,4050,1.9,38.4,52.9,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,2,0.6,0
99,2907,TNS,2201,3.4,36.3,52.6,3.9,0,1.4,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0
100,2908,TNS,2580,1.8,44.5,49.4,2,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0.6,0,0
101,3001,TNS,2157,43.3,40.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0
102,3002,TNS,2567,40.5,38.1,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0
103,3003,R&R,3442,39.4,50,9.8,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
104,3004,R&R,3723,35.7,47.7,11.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3005,TNS,2538,35.5,45.7,15,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3006,TNS,2129,26.5,57.2,10.5,4.7,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3007,R&R,2404,45,35.2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0
108,3101,KRC,1185,49.7,21.1,10.8,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3102,KRC,1378,42,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0
110,3103,KRC,1442,45.7,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,0,0
111,3104,KRC,1769,33.2,0,5.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,0
112,3105,KRC,2402,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0
113,3106,KRC,2131,30.5,20.4,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,1.9,0
114,4101,TNS,2578,37.5,46.1,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4102,KRC,2630,33.3,51.6,13.4,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
116,4103,TNS,2224,46.7,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4104,TNS,2799,32.5,44.9,14.4,7.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
118,4105,R&R,4217,36.6,50.3,12,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
119,4106,R&R,2985,33.4,45.3,19.2,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0
120,4107,TNS,2060,43.1,40.4,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4108,TNS,2880,37.7,47.7,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4109,R&R,4489,31.9,39.2,9.1,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,19,0,0
123,4110,KRC,2852,37.7,44.3,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4111,KRC,3218,41.9,33.6,21,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
125,4112,R&R,3975,38.9,46.5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4113,TNS,2869,34.4,49.3,15.4,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
127,4114,TNS,2168,42.6,38,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4115,KRC,2028,35.4,41.4,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
